Member_number,itemDescription,year,month,day,day_of_week
4835,root vegetables,2015,9,12,5
1832,pastry,2015,11,17,1
1403,semi-finished bread,2015,3,25,2
4856,hygiene articles,2015,1,18,6
3369,butter,2015,2,22,6
4364,mayonnaise,2015,12,24,3
4686,citrus fruit,2015,12,11,4
2876,fruit/vegetable juice,2015,3,22,6
1449,domestic eggs,2015,1,26,0
3499,white wine,2015,4,5,6
3462,cream cheese ,2015,5,16,5
1512,salty snack,2015,2,23,0
1551,frozen fish,2015,1,14,2
3993,butter milk,2015,2,18,2
3494,whole milk,2015,3,25,2
1819,soda,2015,6,25,3
3581,dishes,2015,6,9,1
3763,coffee,2015,4,29,2
2807,whole milk,2015,3,7,5
1133,whole milk,2015,3,26,3
4923,rolls/buns,2015,4,19,6
3912,rolls/buns,2015,6,1,0
4312,long life bakery product,2015,10,19,0
3141,salty snack,2015,8,13,3
5000,root vegetables,2015,10,2,4
3327,brown bread,2015,4,30,3
1058,bottled water,2015,6,4,3
4397,yogurt,2015,3,4,2
3694,citrus fruit,2015,10,27,1
3346,ice cream,2015,11,5,3
1039,rolls/buns,2015,5,31,6
1081,whole milk,2015,1,21,2
3064,other vegetables,2015,2,1,6
4794,tropical fruit,2015,10,27,1
4933,bottled water,2015,2,1,6
3312,berries,2015,10,13,1
1303,pastry,2015,5,29,4
4756,whipped/sour cream,2015,3,29,6
3595,other vegetables,2015,6,8,0
2747,pickled vegetables,2015,2,2,0
4113,rolls/buns,2015,8,13,3
2882,chewing gum,2015,4,26,6
1980,brown bread,2015,10,15,3
3534,pastry,2015,11,11,2
4452,other vegetables,2015,11,23,0
1883,butter milk,2015,5,26,1
4160,pip fruit,2015,12,8,1
3212,whole milk,2015,4,18,5
2327,butter,2015,8,12,2
1874,yogurt,2015,7,29,2
4439,tropical fruit,2015,1,1,3
4883,newspapers,2015,10,1,3
1873,red/blush wine,2015,2,22,6
4228,cooking chocolate,2015,4,18,5
2868,yogurt,2015,4,12,6
4102,other vegetables,2015,9,23,2
1013,domestic eggs,2015,2,10,1
1928,bottled water,2015,8,15,5
2064,ice cream,2015,8,21,4
3416,other vegetables,2015,11,15,6
1536,pastry,2015,5,1,4
1953,pet care,2015,9,3,3
1327,bottled beer,2015,4,7,1
3415,curd,2015,5,27,2
2517,yogurt,2015,3,22,6
4334,other vegetables,2015,12,10,3
4515,other vegetables,2015,6,15,0
1527,napkins,2015,4,20,0
1726,dessert,2015,2,11,2
4734,yogurt,2015,10,2,4
2356,pastry,2015,6,15,0
2244,semi-finished bread,2015,3,29,6
4281,whole milk,2015,3,4,2
2977,popcorn,2015,4,14,1
2119,soda,2015,9,24,3
3208,root vegetables,2015,6,24,2
2663,whipped/sour cream,2015,5,18,0
3344,whole milk,2015,1,4,6
3592,pip fruit,2015,12,14,0
2106,yogurt,2015,11,24,1
3356,domestic eggs,2015,5,23,5
3227,pastry,2015,11,30,0
1505,citrus fruit,2015,7,27,0
1035,yogurt,2015,4,24,4
4312,frozen fish,2015,12,14,0
1253,baking powder,2015,6,20,5
2260,mayonnaise,2015,10,30,4
3710,spread cheese,2015,8,22,5
1846,mustard,2015,11,29,6
3520,other vegetables,2015,9,11,4
2816,mustard,2015,6,19,4
1051,red/blush wine,2015,10,11,6
1754,coffee,2015,8,7,4
3593,instant coffee,2015,8,31,0
1421,hard cheese,2015,7,8,2
3104,citrus fruit,2015,4,6,0
1283,specialty bar,2015,5,30,5
1130,dessert,2015,9,18,4
2816,seasonal products,2015,1,10,5
4594,butter milk,2015,6,23,1
4192,UHT-milk,2015,12,16,2
3208,cream cheese ,2015,11,20,4
1949,napkins,2015,11,4,2
4268,dessert,2015,4,25,5
2672,pastry,2015,1,17,5
2372,white bread,2015,3,9,0
4482,hard cheese,2015,7,8,2
1048,whole milk,2015,6,10,2
4831,frozen vegetables,2015,2,19,3
3441,root vegetables,2015,12,4,4
3380,margarine,2015,11,11,2
1654,citrus fruit,2015,9,11,4
2408,tropical fruit,2015,6,21,6
4699,red/blush wine,2015,1,8,3
2670,onions,2015,4,29,2
4292,specialty chocolate,2015,8,18,1
4303,tropical fruit,2015,2,22,6
2011,rolls/buns,2015,3,22,6
3657,soda,2015,9,29,1
1435,prosecco,2015,1,14,2
4445,chocolate,2015,5,20,2
4030,pastry,2015,8,15,5
1204,bottled beer,2015,11,4,2
1235,bottled beer,2015,1,1,3
3984,canned vegetables,2015,3,2,0
3637,yogurt,2015,11,25,2
1931,bottled water,2015,2,7,5
4486,rolls/buns,2015,10,23,4
4529,soda,2015,3,1,6
1827,specialty bar,2015,7,5,6
3054,onions,2015,5,27,2
2524,candy,2015,10,21,2
1855,whole milk,2015,9,11,4
3242,pip fruit,2015,2,23,0
4431,butter,2015,8,21,4
4555,whole milk,2015,7,23,3
4299,beef,2015,8,2,6
2905,cream cheese ,2015,10,22,3
3323,oil,2015,9,12,5
2796,rolls/buns,2015,10,17,5
2129,candy,2015,4,3,4
1501,fruit/vegetable juice,2015,8,17,0
2814,whole milk,2015,7,17,4
1105,tropical fruit,2015,5,22,4
3798,yogurt,2015,4,9,3
3025,bottled beer,2015,4,21,1
4592,newspapers,2015,7,13,0
4463,canned beer,2015,3,11,2
2916,whole milk,2015,6,13,5
1838,photo/film,2015,3,25,2
1126,root vegetables,2015,5,17,6
2800,margarine,2015,2,10,1
4485,whole milk,2015,7,25,5
3262,tropical fruit,2015,8,7,4
4030,other vegetables,2015,12,22,1
3370,liquor (appetizer),2015,3,2,0
3489,yogurt,2015,1,9,4
2386,newspapers,2015,3,1,6
3774,rolls/buns,2015,2,16,0
3818,tropical fruit,2015,5,13,2
3434,rolls/buns,2015,10,6,1
3438,photo/film,2015,12,27,6
1140,other vegetables,2015,1,5,0
1051,hamburger meat,2015,12,10,3
3071,dishes,2015,3,26,3
3872,canned beer,2015,3,28,5
4215,whole milk,2015,6,30,1
3806,mayonnaise,2015,3,15,6
1869,whole milk,2015,5,16,5
1668,pip fruit,2015,5,5,1
1163,citrus fruit,2015,12,14,0
4787,UHT-milk,2015,5,17,6
4811,pet care,2015,11,1,6
4364,pickled vegetables,2015,5,9,5
4572,pip fruit,2015,2,8,6
3222,whole milk,2015,5,8,4
3404,shopping bags,2015,3,24,1
2221,pork,2015,12,18,4
3646,turkey,2015,1,31,5
4102,whole milk,2015,7,15,2
2718,turkey,2015,12,6,6
1403,curd,2015,5,16,5
4548,cream cheese ,2015,5,30,5
4340,frozen fish,2015,6,8,0
2856,other vegetables,2015,8,21,4
1041,yogurt,2015,2,4,2
1564,yogurt,2015,6,19,4
4552,root vegetables,2015,10,17,5
2516,whole milk,2015,7,31,4
4246,rolls/buns,2015,6,13,5
1090,whole milk,2015,10,21,2
2889,yogurt,2015,1,20,1
2229,long life bakery product,2015,1,31,5
4558,tropical fruit,2015,5,4,0
2018,curd,2015,4,20,0
4898,flour,2015,7,26,6
4998,curd,2015,10,14,2
2165,other vegetables,2015,1,28,2
3075,semi-finished bread,2015,10,15,3
3973,butter,2015,1,28,2
3775,coffee,2015,10,27,1
3135,onions,2015,7,26,6
2738,rolls/buns,2015,7,25,5
4455,curd,2015,10,24,5
2780,herbs,2015,3,9,0
3593,other vegetables,2015,5,27,2
1876,frozen meals,2015,6,16,1
4694,oil,2015,11,18,2
4273,frozen vegetables,2015,1,6,1
4968,herbs,2015,11,13,4
2449,yogurt,2015,4,21,1
1536,rolls/buns,2015,2,5,3
2188,bottled beer,2015,11,28,5
4197,cream,2015,5,13,2
2379,yogurt,2015,11,8,6
4696,citrus fruit,2015,8,18,1
2680,yogurt,2015,3,1,6
4525,whole milk,2015,11,5,3
1098,other vegetables,2015,12,11,4
1222,coffee,2015,7,8,2
2316,tropical fruit,2015,8,6,3
1950,sliced cheese,2015,6,14,6
3186,rolls/buns,2015,3,8,6
2540,rolls/buns,2015,5,3,6
1789,frozen dessert,2015,11,6,4
1574,pork,2015,4,8,2
2152,fruit/vegetable juice,2015,7,23,3
1493,spices,2015,1,10,5
3044,other vegetables,2015,9,5,5
2874,whole milk,2015,9,9,2
3556,seasonal products,2015,9,30,2
3255,domestic eggs,2015,5,24,6
2521,margarine,2015,12,14,0
3220,citrus fruit,2015,10,14,2
1381,UHT-milk,2015,6,3,2
4050,curd,2015,6,7,6
1872,onions,2015,1,29,3
4127,margarine,2015,11,4,2
2833,whipped/sour cream,2015,8,14,4
2357,soda,2015,9,23,2
2654,citrus fruit,2015,3,3,1
4852,soda,2015,4,28,1
2222,butter,2015,7,21,1
2340,soda,2015,12,7,0
1987,napkins,2015,10,15,3
3570,other vegetables,2015,2,9,0
1320,root vegetables,2015,1,19,0
2209,onions,2015,7,20,0
2500,white wine,2015,3,30,0
3315,onions,2015,12,9,2
2548,brown bread,2015,11,16,0
4473,rolls/buns,2015,7,9,3
2271,instant coffee,2015,6,16,1
4336,pot plants,2015,10,10,5
2763,yogurt,2015,1,2,4
2780,whole milk,2015,11,10,1
2632,butter,2015,1,16,4
2568,root vegetables,2015,8,20,3
1729,newspapers,2015,7,23,3
3878,tropical fruit,2015,7,28,1
1225,bottled beer,2015,3,26,3
1924,UHT-milk,2015,11,17,1
4335,shopping bags,2015,10,6,1
3182,whole milk,2015,12,3,3
4303,soups,2015,8,23,6
3042,bottled water,2015,2,10,1
4493,root vegetables,2015,10,29,3
4194,pip fruit,2015,7,2,3
3031,whipped/sour cream,2015,12,18,4
3891,shopping bags,2015,3,7,5
1062,other vegetables,2015,4,16,3
2469,onions,2015,3,23,0
3719,cleaner,2015,3,9,0
3322,whole milk,2015,11,2,0
1336,coffee,2015,10,3,5
1067,coffee,2015,7,20,0
1998,whole milk,2015,5,15,4
1076,whole milk,2015,10,14,2
1992,other vegetables,2015,2,8,6
1261,rolls/buns,2015,5,21,3
4409,whole milk,2015,1,15,3
3031,other vegetables,2015,8,30,6
2129,pip fruit,2015,3,18,2
1684,coffee,2015,3,1,6
4240,whole milk,2015,9,18,4
2750,pork,2015,9,14,0
1379,canned beer,2015,7,13,0
4243,hard cheese,2015,8,22,5
2469,whole milk,2015,12,1,1
2346,whole milk,2015,9,17,3
2366,pastry,2015,8,18,1
2374,root vegetables,2015,6,23,1
1721,whole milk,2015,10,15,3
2877,waffles,2015,10,4,6
3848,frozen vegetables,2015,11,10,1
4344,long life bakery product,2015,1,3,5
3475,whole milk,2015,10,6,1
3650,beef,2015,7,17,4
2318,root vegetables,2015,1,16,4
1776,pastry,2015,2,3,1
3120,butter,2015,7,7,1
1194,soda,2015,5,13,2
2089,UHT-milk,2015,4,17,4
2095,whole milk,2015,6,4,3
1736,chocolate,2015,8,29,5
3718,pudding powder,2015,12,7,0
4950,UHT-milk,2015,4,22,2
2481,shopping bags,2015,11,24,1
1296,root vegetables,2015,6,11,3
2824,whole milk,2015,7,12,6
4852,rolls/buns,2015,6,29,0
1648,rolls/buns,2015,2,27,4
3307,specialty bar,2015,6,10,2
4259,butter,2015,6,24,2
2587,frozen vegetables,2015,2,6,4
4303,other vegetables,2015,8,4,1
1325,root vegetables,2015,5,26,1
3351,margarine,2015,10,14,2
1623,specialty chocolate,2015,1,18,6
3119,newspapers,2015,2,20,4
1211,salty snack,2015,5,24,6
4146,pastry,2015,9,2,2
1753,other vegetables,2015,2,26,3
4664,frozen vegetables,2015,5,26,1
3827,soft cheese,2015,3,11,2
1098,bottled water,2015,9,27,6
4338,ham,2015,8,27,3
3712,jam,2015,12,20,6
1505,other vegetables,2015,10,27,1
4478,newspapers,2015,2,8,6
4150,pastry,2015,8,23,6
1118,butter,2015,12,25,4
2537,oil,2015,7,5,6
1996,root vegetables,2015,10,5,0
4267,whipped/sour cream,2015,9,13,6
4424,pork,2015,10,16,4
1948,yogurt,2015,6,5,4
3495,pork,2015,1,2,4
2327,whipped/sour cream,2015,3,18,2
3356,processed cheese,2015,12,1,1
3926,other vegetables,2015,3,23,0
4105,whole milk,2015,3,12,3
1884,onions,2015,5,8,4
4799,long life bakery product,2015,9,2,2
4915,berries,2015,9,18,4
2643,dessert,2015,1,12,0
3927,frozen meals,2015,3,9,0
2410,butter,2015,11,18,2
1855,frozen vegetables,2015,4,28,1
1245,rolls/buns,2015,2,3,1
3138,hard cheese,2015,4,19,6
1178,pork,2015,4,19,6
1870,soda,2015,5,9,5
4660,root vegetables,2015,10,7,2
3241,whole milk,2015,9,8,1
4661,onions,2015,4,18,5
2407,frozen vegetables,2015,10,3,5
2440,liquor,2015,6,19,4
4634,pork,2015,5,15,4
4112,specialty chocolate,2015,2,14,5
2428,butter,2015,8,21,4
3604,sugar,2015,3,14,5
3671,oil,2015,3,8,6
2880,whole milk,2015,6,19,4
3946,citrus fruit,2015,6,19,4
4495,whipped/sour cream,2015,6,20,5
3355,other vegetables,2015,2,12,3
3959,sliced cheese,2015,5,27,2
1583,sugar,2015,11,23,0
3998,other vegetables,2015,3,28,5
4509,yogurt,2015,11,29,6
1008,liver loaf,2015,3,10,1
4894,onions,2015,12,23,2
4252,butter,2015,10,4,6
3428,cake bar,2015,3,16,0
1988,other vegetables,2015,8,9,6
4662,other vegetables,2015,10,19,0
3165,liquor,2015,11,27,4
1920,specialty fat,2015,2,16,0
4157,other vegetables,2015,4,1,2
1945,hamburger meat,2015,4,30,3
4104,whole milk,2015,7,27,0
2865,other vegetables,2015,5,14,3
4788,yogurt,2015,4,28,1
1903,other vegetables,2015,1,25,6
3578,root vegetables,2015,5,16,5
2238,yogurt,2015,6,12,4
3671,bottled beer,2015,11,10,1
3088,canned fish,2015,3,12,3
1832,specialty chocolate,2015,4,17,4
4785,fruit/vegetable juice,2015,9,13,6
1322,specialty bar,2015,10,19,0
4439,turkey,2015,3,18,2
1698,pork,2015,6,26,4
3558,soda,2015,4,25,5
3026,soda,2015,1,1,3
1127,pastry,2015,10,15,3
4153,liquor,2015,5,2,5
4258,fruit/vegetable juice,2015,4,22,2
2582,root vegetables,2015,11,14,5
1466,mayonnaise,2015,1,12,0
4185,coffee,2015,1,16,4
1889,berries,2015,9,2,2
3396,soda,2015,5,14,3
3412,waffles,2015,1,26,0
3321,yogurt,2015,7,13,0
3484,semi-finished bread,2015,11,21,5
1937,newspapers,2015,10,17,5
2101,onions,2015,12,20,6
4006,whipped/sour cream,2015,12,18,4
3732,white wine,2015,7,18,5
1276,rolls/buns,2015,4,28,1
4916,brown bread,2015,1,3,5
2040,chocolate,2015,6,4,3
2255,whole milk,2015,1,5,0
1239,bottled beer,2015,7,25,5
4992,pip fruit,2015,6,20,5
3225,whole milk,2015,12,6,6
2421,whole milk,2015,11,21,5
3303,butter,2015,1,25,6
3455,pastry,2015,9,13,6
1484,white wine,2015,7,10,4
3591,butter,2015,11,5,3
2487,canned beer,2015,3,27,4
1380,cake bar,2015,4,20,0
2786,butter,2015,3,25,2
1885,waffles,2015,5,27,2
1295,bottled water,2015,1,28,2
2184,other vegetables,2015,1,23,4
4054,whole milk,2015,6,5,4
3972,bottled water,2015,8,6,3
1216,brown bread,2015,6,19,4
1347,other vegetables,2015,7,31,4
4190,newspapers,2015,4,4,5
3264,whole milk,2015,5,4,0
2942,waffles,2015,1,2,4
2932,butter,2015,1,22,3
4049,curd,2015,1,8,3
1954,whole milk,2015,6,8,0
2321,rolls/buns,2015,6,16,1
2930,oil,2015,3,23,0
3214,UHT-milk,2015,3,27,4
4877,UHT-milk,2015,6,20,5
1277,whole milk,2015,7,6,0
2239,fruit/vegetable juice,2015,12,13,6
4929,butter,2015,3,26,3
1390,whole milk,2015,2,3,1
1870,other vegetables,2015,9,9,2
3405,brown bread,2015,3,4,2
2338,curd,2015,8,12,2
2051,newspapers,2015,11,9,0
3504,hamburger meat,2015,6,7,6
3405,pip fruit,2015,4,13,0
2512,baking powder,2015,2,9,0
4038,white bread,2015,6,11,3
1759,pork,2015,9,26,5
2813,yogurt,2015,1,10,5
3055,hamburger meat,2015,8,18,1
1733,root vegetables,2015,3,18,2
1913,pork,2015,8,18,1
4864,whole milk,2015,3,27,4
4812,liquor,2015,5,27,2
3042,other vegetables,2015,5,10,6
4988,other vegetables,2015,4,10,4
4486,soft cheese,2015,7,21,1
4069,other vegetables,2015,3,5,3
4600,domestic eggs,2015,7,14,1
3588,roll products ,2015,5,5,1
4175,grapes,2015,1,29,3
2599,cream cheese ,2015,7,30,3
4671,coffee,2015,7,15,2
2270,berries,2015,9,6,6
2494,soft cheese,2015,5,5,1
1406,curd,2015,12,28,0
3910,other vegetables,2015,12,18,4
3358,soda,2015,2,21,5
1943,onions,2015,1,14,2
1995,root vegetables,2015,12,6,6
4666,beef,2015,2,24,1
1994,pip fruit,2015,11,3,1
4892,frozen vegetables,2015,9,1,1
3531,white bread,2015,8,29,5
1148,shopping bags,2015,4,15,2
1787,other vegetables,2015,10,31,5
4215,yogurt,2015,5,31,6
2158,sliced cheese,2015,1,8,3
2510,house keeping products,2015,9,29,1
3180,condensed milk,2015,10,19,0
3207,sweet spreads,2015,8,8,5
1226,white bread,2015,12,11,4
1682,shopping bags,2015,6,25,3
1509,root vegetables,2015,4,11,5
2364,yogurt,2015,6,21,6
4679,tropical fruit,2015,10,11,6
4324,tropical fruit,2015,5,1,4
3497,whole milk,2015,6,14,6
1008,root vegetables,2015,7,21,1
4572,rolls/buns,2015,10,29,3
4030,brown bread,2015,4,7,1
2422,other vegetables,2015,12,8,1
2694,pip fruit,2015,11,24,1
3481,dishes,2015,3,8,6
3821,herbs,2015,3,1,6
3752,newspapers,2015,8,20,3
3262,other vegetables,2015,8,12,2
1370,whole milk,2015,6,28,6
1090,dishes,2015,8,31,0
3862,fruit/vegetable juice,2015,11,18,2
4495,other vegetables,2015,8,4,1
2492,soda,2015,1,11,6
4688,other vegetables,2015,1,8,3
3633,pastry,2015,7,14,1
3709,herbs,2015,8,8,5
1220,onions,2015,9,2,2
4236,pip fruit,2015,11,25,2
3308,newspapers,2015,8,19,2
1183,butter,2015,12,6,6
1999,tropical fruit,2015,8,24,0
4828,root vegetables,2015,11,10,1
3608,honey,2015,12,10,3
3983,sweet spreads,2015,9,9,2
3460,curd,2015,7,24,4
1703,pork,2015,2,21,5
1969,citrus fruit,2015,7,23,3
2646,liver loaf,2015,3,6,4
1777,whole milk,2015,4,22,2
4967,whole milk,2015,6,8,0
4291,citrus fruit,2015,7,29,2
2267,brown bread,2015,11,11,2
3579,rolls/buns,2015,2,6,4
3959,domestic eggs,2015,5,10,6
2271,root vegetables,2015,11,20,4
3621,root vegetables,2015,9,4,4
3491,root vegetables,2015,11,6,4
1542,yogurt,2015,4,28,1
4098,pip fruit,2015,9,1,1
4117,citrus fruit,2015,11,8,6
3289,tropical fruit,2015,3,31,1
1883,whole milk,2015,5,11,0
3659,brown bread,2015,6,21,6
1364,ice cream,2015,6,20,5
3184,whole milk,2015,4,9,3
3113,domestic eggs,2015,5,3,6
1135,other vegetables,2015,4,29,2
1394,bottled water,2015,2,14,5
2381,UHT-milk,2015,1,13,1
4110,root vegetables,2015,11,28,5
4043,other vegetables,2015,1,21,2
3491,root vegetables,2015,6,6,5
2044,semi-finished bread,2015,12,16,2
4191,chicken,2015,4,28,1
1312,oil,2015,5,18,0
2191,misc. beverages,2015,10,11,6
1032,root vegetables,2015,8,23,6
3790,coffee,2015,10,28,2
3588,other vegetables,2015,8,19,2
4598,brown bread,2015,3,18,2
3394,grapes,2015,6,15,0
2202,root vegetables,2015,6,24,2
2431,shopping bags,2015,7,18,5
4207,rolls/buns,2015,3,17,1
2580,yogurt,2015,10,24,5
4825,whipped/sour cream,2015,9,6,6
4368,cream cheese ,2015,12,10,3
4852,pastry,2015,6,17,2
1595,whole milk,2015,6,20,5
1678,frozen dessert,2015,9,14,0
4667,other vegetables,2015,7,5,6
2631,root vegetables,2015,9,27,6
1623,pastry,2015,1,3,5
1784,other vegetables,2015,5,26,1
2379,other vegetables,2015,9,19,5
4361,rolls/buns,2015,1,27,1
3419,pot plants,2015,7,25,5
1286,soda,2015,12,8,1
1236,cling film/bags,2015,11,5,3
3585,frozen meals,2015,6,3,2
4773,whipped/sour cream,2015,9,11,4
4114,fruit/vegetable juice,2015,5,4,0
4700,cream cheese ,2015,3,16,0
4120,pip fruit,2015,1,12,0
3416,frozen vegetables,2015,7,7,1
1038,pip fruit,2015,2,4,2
3267,yogurt,2015,1,18,6
3402,other vegetables,2015,6,1,0
3013,root vegetables,2015,8,21,4
4807,UHT-milk,2015,1,27,1
2172,sugar,2015,2,3,1
1388,root vegetables,2015,3,4,2
3309,other vegetables,2015,1,21,2
2194,red/blush wine,2015,5,6,2
4603,root vegetables,2015,1,21,2
1631,mayonnaise,2015,5,2,5
2712,soda,2015,11,9,0
2757,condensed milk,2015,4,28,1
4761,newspapers,2015,8,9,6
2688,whole milk,2015,11,22,6
2458,pip fruit,2015,8,23,6
4087,butter,2015,8,26,2
4677,rolls/buns,2015,10,15,3
3250,whole milk,2015,12,4,4
3488,bottled beer,2015,8,19,2
1679,frozen vegetables,2015,6,24,2
4820,domestic eggs,2015,7,23,3
2079,whole milk,2015,5,16,5
2460,rolls/buns,2015,10,27,1
4286,citrus fruit,2015,6,6,5
3050,chocolate,2015,10,8,3
2888,soda,2015,5,9,5
2376,whole milk,2015,5,28,3
4748,newspapers,2015,3,23,0
2311,other vegetables,2015,6,6,5
4765,zwieback,2015,5,7,3
4199,candles,2015,4,8,2
2592,yogurt,2015,3,20,4
1403,whipped/sour cream,2015,5,15,4
4031,other vegetables,2015,3,1,6
1416,yogurt,2015,4,3,4
4022,herbs,2015,4,24,4
3674,other vegetables,2015,3,22,6
3430,candy,2015,4,16,3
1113,pudding powder,2015,3,29,6
4178,fruit/vegetable juice,2015,1,22,3
4037,frozen dessert,2015,9,5,5
3917,shopping bags,2015,9,13,6
4658,pastry,2015,7,14,1
1408,whole milk,2015,7,23,3
4940,cream,2015,4,17,4
1639,tropical fruit,2015,10,10,5
4139,rolls/buns,2015,11,26,3
2799,baking powder,2015,6,17,2
4041,frozen potato products,2015,10,16,4
3508,dishes,2015,7,2,3
1584,cream cheese ,2015,11,3,1
4006,newspapers,2015,2,7,5
4593,pickled vegetables,2015,7,4,5
4875,red/blush wine,2015,8,22,5
2534,bottled water,2015,9,8,1
2413,whole milk,2015,12,13,6
1909,sliced cheese,2015,10,1,3
4367,whole milk,2015,11,15,6
4240,coffee,2015,10,28,2
1866,pip fruit,2015,8,11,1
3905,frozen meals,2015,6,19,4
4906,butter milk,2015,9,16,2
4478,bottled water,2015,4,12,6
2765,waffles,2015,7,22,2
4178,pastry,2015,11,13,4
4330,whole milk,2015,6,22,0
1659,other vegetables,2015,3,25,2
2406,root vegetables,2015,10,24,5
3465,frozen vegetables,2015,1,15,3
3178,sugar,2015,10,22,3
2218,whole milk,2015,2,7,5
3980,citrus fruit,2015,9,4,4
2519,yogurt,2015,3,14,5
2568,pip fruit,2015,9,10,3
1130,cream cheese ,2015,1,15,3
1231,photo/film,2015,5,20,2
2654,whole milk,2015,9,22,1
3913,frozen meals,2015,3,21,5
3276,whole milk,2015,2,23,0
4094,soda,2015,3,30,0
3997,mustard,2015,7,19,6
2313,pastry,2015,2,18,2
2716,rolls/buns,2015,10,9,4
3923,butter,2015,1,27,1
4541,hygiene articles,2015,4,18,5
4524,coffee,2015,8,26,2
1750,pastry,2015,8,2,6
1527,whole milk,2015,12,30,2
1379,pip fruit,2015,1,7,2
2380,cookware,2015,9,10,3
3259,oil,2015,2,9,0
3268,whole milk,2015,7,13,0
3117,brown bread,2015,3,3,1
1972,pasta,2015,2,6,4
1154,other vegetables,2015,6,4,3
2408,curd,2015,3,25,2
2400,tropical fruit,2015,3,22,6
1286,dessert,2015,8,3,0
3505,other vegetables,2015,7,21,1
4503,whipped/sour cream,2015,12,19,5
4292,bottled water,2015,3,27,4
4906,citrus fruit,2015,9,30,2
2745,rolls/buns,2015,8,4,1
4682,other vegetables,2015,5,17,6
2553,tropical fruit,2015,1,2,4
3985,canned beer,2015,2,18,2
2741,bottled beer,2015,9,28,0
2642,beverages,2015,1,4,6
1873,pastry,2015,2,14,5
3738,rolls/buns,2015,7,15,2
2042,root vegetables,2015,11,17,1
4669,other vegetables,2015,5,27,2
2045,sweet spreads,2015,8,16,6
3450,tropical fruit,2015,3,10,1
2225,whole milk,2015,12,3,3
2290,pip fruit,2015,10,9,4
4494,tropical fruit,2015,2,11,2
3539,bottled beer,2015,1,24,5
1002,sugar,2015,4,26,6
3222,sliced cheese,2015,5,8,4
1711,yogurt,2015,11,22,6
2436,whole milk,2015,11,24,1
2888,other vegetables,2015,12,20,6
4665,whole milk,2015,2,26,3
2977,UHT-milk,2015,3,1,6
3052,rolls/buns,2015,4,7,1
4943,soda,2015,7,28,1
1323,whole milk,2015,3,11,2
1604,rum,2015,4,11,5
2794,specialty chocolate,2015,12,9,2
2253,white bread,2015,7,21,1
2873,whipped/sour cream,2015,3,9,0
2707,newspapers,2015,6,22,0
2718,chewing gum,2015,1,25,6
3711,berries,2015,8,7,4
2960,pastry,2015,2,17,1
1702,bottled beer,2015,1,14,2
4347,root vegetables,2015,7,3,4
2913,ready soups,2015,4,7,1
3893,whole milk,2015,4,15,2
1950,frozen vegetables,2015,10,23,4
3205,detergent,2015,3,20,4
1943,liquor,2015,3,24,1
3604,cat food,2015,5,18,0
2048,sugar,2015,12,16,2
2176,onions,2015,8,8,5
2659,yogurt,2015,6,15,0
3841,other vegetables,2015,1,2,4
1077,soda,2015,12,9,2
2403,chewing gum,2015,11,28,5
3324,rolls/buns,2015,8,24,0
4976,pastry,2015,11,7,5
3894,other vegetables,2015,6,11,3
3718,rolls/buns,2015,10,18,6
3652,whole milk,2015,9,18,4
4867,salty snack,2015,3,1,6
1845,rolls/buns,2015,5,28,3
2233,chocolate,2015,8,28,4
1958,cream cheese ,2015,3,7,5
1535,soda,2015,1,14,2
2187,sugar,2015,8,16,6
4557,packaged fruit/vegetables,2015,10,19,0
1482,cake bar,2015,2,21,5
4614,butter,2015,7,6,0
1341,fruit/vegetable juice,2015,9,16,2
4768,yogurt,2015,3,13,4
3683,frozen meals,2015,4,12,6
3471,liquor,2015,5,29,4
4698,newspapers,2015,10,25,6
4134,dessert,2015,11,28,5
1357,brown bread,2015,7,28,1
2617,dessert,2015,5,22,4
2834,cream cheese ,2015,12,26,5
1921,bottled water,2015,10,25,6
1248,curd,2015,8,25,1
3945,onions,2015,4,10,4
2265,chewing gum,2015,7,29,2
1046,pastry,2015,6,18,3
1484,whole milk,2015,2,24,1
3355,brown bread,2015,10,18,6
4563,whole milk,2015,5,16,5
4255,dishes,2015,8,15,5
3741,other vegetables,2015,11,21,5
2990,specialty bar,2015,12,8,1
1655,whole milk,2015,11,20,4
1878,yogurt,2015,2,22,6
3877,whipped/sour cream,2015,11,1,6
3370,sugar,2015,12,11,4
3084,salt,2015,4,19,6
1472,whole milk,2015,6,7,6
3160,yogurt,2015,1,22,3
1854,newspapers,2015,7,26,6
4113,bottled beer,2015,7,19,6
1551,syrup,2015,11,8,6
3195,yogurt,2015,1,30,4
1170,pip fruit,2015,1,12,0
2653,spread cheese,2015,7,12,6
3494,fruit/vegetable juice,2015,4,7,1
4787,cat food,2015,5,25,0
2008,soda,2015,10,21,2
3692,coffee,2015,2,20,4
1016,pip fruit,2015,4,23,3
4667,rolls/buns,2015,2,23,0
4191,long life bakery product,2015,10,5,0
2015,rum,2015,12,5,5
3002,snack products,2015,2,19,3
4068,yogurt,2015,10,1,3
4432,coffee,2015,9,25,4
3406,sliced cheese,2015,5,17,6
1844,grapes,2015,10,2,4
4793,specialty chocolate,2015,2,24,1
3363,baking powder,2015,5,18,0
2160,dishes,2015,6,10,2
1448,liquor,2015,3,19,3
1346,domestic eggs,2015,8,5,2
3863,pet care,2015,6,13,5
4611,cooking chocolate,2015,8,3,0
1368,soft cheese,2015,7,15,2
1808,semi-finished bread,2015,4,2,3
